code,name,total,date
01000000000,Алтайский край,953,13149
01000000000,Алтайский край,1007,13180
01000000000,Алтайский край,1311,13208
01000000000,Алтайский край,1554,13239
01000000000,Алтайский край,562,13269
01000000000,Алтайский край,1900,13300
01000000000,Алтайский край,2338,13330
01000000000,Алтайский край,3034,13361
01000000000,Алтайский край,2460,13392
01000000000,Алтайский край,1762,13422
01000000000,Алтайский край,1411,13453
01000000000,Алтайский край,1554,13483
01000000000,Алтайский край,1069,13514
01000000000,Алтайский край,1221,13545
01000000000,Алтайский край,1330,13573
01000000000,Алтайский край,1774,13604
01000000000,Алтайский край,609,13634
01000000000,Алтайский край,2107,13665
01000000000,Алтайский край,2708,13695
01000000000,Алтайский край,3272,13726
01000000000,Алтайский край,2483,13757
01000000000,Алтайский край,1825,13787
01000000000,Алтайский край,1721,13818
01000000000,Алтайский край,1940,13848
01000000000,Алтайский край,1006,13879
01000000000,Алтайский край,1224,13910
01000000000,Алтайский край,1611,13939
01000000000,Алтайский край,1389,13970
01000000000,Алтайский край,879,14000
01000000000,Алтайский край,2117,14031
01000000000,Алтайский край,2234,14061
01000000000,Алтайский край,3949,14092
01000000000,Алтайский край,2061,14123
01000000000,Алтайский край,1725,14153
01000000000,Алтайский край,1513,14184
01000000000,Алтайский край,1138,14214
01000000000,Алтайский край,1091,14245
01000000000,Алтайский край,1371,14276
01000000000,Алтайский край,1214,14304
01000000000,Алтайский край,1671,14335
01000000000,Алтайский край,748,14365
01000000000,Алтайский край,1982,14396
01000000000,Алтайский край,2495,14426
01000000000,Алтайский край,3219,14457
01000000000,Алтайский край,2243,14488
01000000000,Алтайский край,2059,14518
01000000000,Алтайский край,1459,14549
01000000000,Алтайский край,1451,14579
01000000000,Алтайский край,1039,14610
01000000000,Алтайский край,1095,14641
01000000000,Алтайский край,1072,14669
01000000000,Алтайский край,1915,14700
01000000000,Алтайский край,645,14730
01000000000,Алтайский край,2010,14761
01000000000,Алтайский край,2919,14791
01000000000,Алтайский край,3005,14822
01000000000,Алтайский край,2303,14853
01000000000,Алтайский край,2036,14883
01000000000,Алтайский край,1438,14914
01000000000,Алтайский край,1515,14944
01000000000,Алтайский край,868,14975
01000000000,Алтайский край,1063,15006
01000000000,Алтайский край,1337,15034
01000000000,Алтайский край,1540,15065
01000000000,Алтайский край,610,15095
01000000000,Алтайский край,2142,15126
01000000000,Алтайский край,2968,15156
01000000000,Алтайский край,3085,15187
01000000000,Алтайский край,2581,15218
01000000000,Алтайский край,2008,15248
